uid,year,region,service_state,grantee_name,grant_number,grant_type,program_name,program_number,program_type,total_cumulative_enrollment,total_cumulative_enrolled_children,newly_enrolled_children,less_than_1_year_old,x1_year_old,x2_years_old,x3_years_old,x4_years_old,x5_years_and_older,pregnant_women,income_eligibility,receipt_of_public_assistance_eligibility,foster_children_eligibility,homeless_children_eligibility,over_income_eligibility,income_between_100_percent_and_130_percent_of_poverty_eligibility,hispanic_or_latino_origin_any_race_enrollees,asian_non_hispanic_enrollees,black_or_african_american_non_hispanic_enrollees,native_hawaiian_pacific_islander_non_hispanic_enrollees,white_non_hispanic_enrollees,biracial_or_multi_racial_non_hispanic_enrollees,other_race_non_hispanic_enrollees,total_noncontracted_staff,total_contracted_staff,total_departed_staff,total_departed_noncontracted_staff,total_departed_contracted_staff,total_hs_prek_teachers,total_ehs_it_teachers,total_departed_teachers,children_with_health_insurance_at_enrollment,children_with_health_insurance_at_end_of_enrollment_year,children_with_ongoing_source_of_continuous_accessible_health_care_at_enrollment_start,children_with_ongoing_source_of_continuous_accessible_health_care_at_end_enrollment,children_up_to_date_on_epdst_at_enrollment_start,children_up_to_date_on_epdst_at_enrollment_end,hs_prek_children_with_an_iep,ehs_it_children_with_an_iep,hs_prek_health_impairment,hs_prek_emotional_disturbance,hs_prek_speech_impairment,hs_prek_intellectual_disabilities,hs_prek_hearing_impairment,hs_prek_orthopedic_impairment,hs_prek_visual_impairment,hs_prek_specific_learning_disabilities,hs_prek_autism,hs_prek_traumatic_brain_injury,hs_prek_non_categorical_developmental_delay,hs_prek_multiple_disabilities_excluding_deaf_blind,hs_prek_deaf_blind,newly_enrolled_children_who_completed_behavorial_screenings,homeless_children_served,foster_care_children_served
02HP000452-200-2022,2022,Region 2,NJ,"Clinton Hill Community & Early Childhood Center, Inc.",02HP000452,HP,Clinton Hill Early Head Start,200,EHS,21,21,21,2,5,14,0,0,0,0,8,2,0,3,2,NA,0,0,21,0,0,0,0,16,4,3,NA,0,NA,5,1,15,14,16,15,14,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,0
02CH010445-000-2022,2022,Region 2,NY,"Mohawk Valley Community Action Agency, Inc.",02CH010445,CH,"Mohawk Valley Community Action Agency, Inc",000,HS,40,40,17,0,0,4,20,16,0,0,25,4,0,0,2,NA,1,0,1,0,36,2,0,66,0,8,NA,0,3,NA,1,39,39,39,39,39,28,12,NA,0,0,7,0,0,2,0,0,0,0,0,3,0,17,2,0
02CH010467-000-2022,2022,Region 2,NY,Northside Center for Child Development,02CH010467,CH,Northside Center for Child Development- HS,000,HS,56,56,17,0,0,0,34,22,0,0,37,13,2,4,0,NA,17,0,36,0,1,2,0,29,2,1,NA,0,4,NA,2,56,56,56,56,49,56,10,NA,0,0,8,2,0,0,0,0,0,0,0,0,0,17,4,2
02CH010467-200-2022,2022,Region 2,NY,Northside Center for Child Development,02CH010467,CH,Northside Center for Child Developmen-EHS,200,EHS,55,52,20,0,18,20,14,0,0,3,34,15,1,5,0,NA,25,0,28,0,0,2,0,28,2,2,NA,0,NA,16,1,49,52,52,52,47,52,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,1
02CH010530-000-2022,2022,Region 2,NY,"Oswego County Opportunities, Inc.",02CH010530,CH,"OSWEGO COUNTY OPPORTUNITIES, INC",000,HS,204,204,180,0,0,0,82,122,0,0,98,42,12,5,18,NA,16,1,5,0,162,18,0,80,3,18,NA,0,11,NA,3,146,202,147,202,119,160,48,NA,0,0,43,0,0,0,0,0,0,0,5,0,0,180,5,10
02CH010598-000-2022,2022,Region 2,NY,Cardinal McCloskey School and Home for Children,02CH010598,CH,Cardinal McCloskey School & Home for Children,000,HS,490,490,317,0,0,15,243,232,0,0,407,14,5,6,49,NA,389,26,61,0,14,0,0,137,25,50,NA,1,20,NA,20,467,490,434,490,450,490,50,NA,0,0,0,0,0,0,0,0,0,0,50,0,0,303,8,8
02CH010598-200-2022,2022,Region 2,NY,Cardinal McCloskey School and Home for Children,02CH010598,CH,Cardinal McCloskey School and Home for Children,200,EHS,115,95,36,32,32,31,0,0,0,20,82,2,0,15,9,NA,79,0,30,0,0,1,0,49,8,2,NA,0,NA,6,0,88,95,81,89,73,92,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,20,0
02CH010605-000-2022,2022,Region 2,NY,"Economic Opportunity Program of Chemung County, Inc.",02CH010605,CH,"Economic Opportunity Program of Chemung, Inc",000,HS,181,181,111,0,0,9,115,57,0,0,95,29,4,15,15,NA,19,1,24,0,98,34,0,78,3,42,NA,1,11,NA,4,179,178,177,181,175,178,42,NA,0,0,0,0,0,0,0,0,0,0,42,0,0,69,19,6
02CH010605-200-2022,2022,Region 2,NY,"Economic Opportunity Program of Chemung County, Inc.",02CH010605,CH,"Economic Opportunity Program of Chemung County, Inc",200,EHS,63,61,30,1,11,34,15,0,0,2,32,14,1,5,5,NA,7,0,6,0,35,14,0,46,3,23,NA,1,NA,9,4,61,61,59,56,58,58,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,3
02CH010649-000-2022,2022,Region 2,NY,"Fort George Community Enrichment Center, Inc.",02CH010649,CH,"Fort George Community Services, Inc.",000,HS,30,30,23,0,0,0,20,10,0,0,6,1,0,21,1,NA,28,2,0,0,0,0,0,14,3,0,NA,0,3,NA,0,30,30,30,30,22,30,3,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,23,22,0
02CH010649-200-2022,2022,Region 2,NY,"Fort George Community Enrichment Center, Inc.",02CH010649,CH,"Fort George Community Services, Inc.",200,EHS,42,42,24,3,13,26,0,0,0,0,14,6,0,22,0,NA,30,0,12,0,0,0,0,9,10,1,NA,0,NA,0,0,40,40,40,40,13,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,15,0
02CH010650-000-2022,2022,Region 2,NY,"Chinese Community Concerns Corporation, Inc.",02CH010650,CH,"Chinese Community Concerns Corporation, Inc.",000,HS,72,72,23,0,0,0,36,36,0,0,65,0,0,0,0,NA,0,71,0,0,1,0,0,16,0,5,NA,0,5,NA,0,72,72,48,48,48,48,4,NA,0,0,4,0,0,0,0,0,0,0,0,0,0,23,0,0
02CH010659-000-2022,2022,Region 2,NY,"Project Social Care Head Start, Inc.",02CH010659,CH,"Project Social Care Head Start, Inc.",000,HS,90,90,52,0,0,4,53,33,0,0,66,3,0,2,12,NA,7,0,37,0,46,0,0,17,1,3,NA,0,5,NA,3,90,90,89,89,25,42,8,NA,0,0,0,0,0,0,0,0,0,0,8,0,0,49,2,1
02CH010659-200-2022,2022,Region 2,NY,"Project Social Care Head Start, Inc.",02CH010659,CH,"Project Social Care Head Start, Inc.",200,EHS,79,38,19,5,15,18,0,0,0,41,61,2,0,0,7,NA,18,0,59,0,0,2,0,12,2,4,NA,0,NA,4,4,38,38,38,38,22,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0
02CH010660-000-2022,2022,Region 2,NY,Bedford Stuyvesant Early Childhood Development Center,02CH010660,CH,"Bedford Stuyvesant Early Childhood Development Center,",000,HS,247,247,124,0,0,15,120,83,29,0,107,56,6,22,16,NA,17,9,186,0,18,17,0,88,0,11,NA,0,23,NA,3,192,204,192,208,203,193,24,NA,11,0,10,1,0,0,0,0,0,0,0,0,0,124,17,7
02CH010662-000-2022,2022,Region 2,NY,"Broadway Housing Communities, Inc.",02CH010662,CH,"Broadway Housing Communities, Inc",000,HS,25,25,19,0,0,2,16,7,0,0,18,1,0,0,0,NA,3,0,4,0,3,0,0,7,4,0,NA,0,2,NA,0,25,25,25,25,25,25,3,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0
02CH010671-000-2022,2022,Region 2,NY,B'Above Worldwide Institute Inc.,02CH010671,CH,B'Above Worldwide Institute Inc.,000,HS,18,18,6,0,0,0,15,3,0,0,18,0,0,0,0,NA,16,0,2,0,0,0,0,27,5,2,NA,0,2,NA,0,18,18,18,18,14,18,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
02CH010671-200-2022,2022,Region 2,NY,B'Above Worldwide Institute Inc.,02CH010671,CH,B'Above Worldwide Institute Inc.,200,EHS,36,36,22,16,13,7,0,0,0,0,34,0,0,0,2,NA,34,0,2,0,0,0,0,29,2,0,NA,0,NA,1,0,36,36,36,36,29,36,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0
02CH010696-000-2022,2022,Region 2,NY,Community Action Planning Council of Jefferson County,02CH010696,CH,Community Action Planning Council of Jefferson County,000,HS,305,305,254,0,0,0,151,154,0,0,166,40,3,4,23,NA,35,0,29,0,193,38,3,72,3,11,NA,0,14,NA,4,305,305,292,305,292,305,60,NA,0,0,0,0,0,0,0,0,0,0,60,0,0,239,4,4
02CH010735-000-2022,2022,Region 2,NY,"Ulster County Community Action Committee, Inc.",02CH010735,CH,"ULSTER COUNTY COMMUNITY ACTION COMMITTEE, INC",000,HS,106,106,64,0,0,2,46,58,0,0,63,19,5,13,1,NA,38,2,12,1,25,26,0,56,2,13,NA,0,9,NA,3,99,105,106,106,106,101,26,NA,0,0,0,0,0,0,0,0,1,0,25,0,0,61,13,4
02CH010735-200-2022,2022,Region 2,NY,"Ulster County Community Action Committee, Inc.",02CH010735,CH,"ULSTER COUNTY COMMUNITY ACTION COMMITTEE, INC",200,EHS,14,14,6,0,4,10,0,0,0,0,4,4,1,5,0,NA,4,1,1,0,4,4,0,27,2,11,NA,0,NA,6,6,14,14,14,14,14,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1
02CH010750-000-2022,2022,Region 2,NY,"Schoharie County Child Development Council, Inc.",02CH010750,CH,"SCHOHARIE COUNTY CHILD DEVELOPMENT COUNCIL, INC",000,HS,115,115,69,0,0,14,49,52,0,0,54,5,6,20,11,NA,5,0,2,1,101,6,0,60,0,11,NA,0,8,NA,3,114,115,115,115,65,97,15,NA,0,0,0,0,0,0,0,0,0,0,15,0,0,68,14,8
02CH010750-200-2022,2022,Region 2,NY,"Schoharie County Child Development Council, Inc.",02CH010750,CH,"SCHOHARIE COUNTY CHILD DEVELOPMENT COUNCIL, INC",200,EHS,98,87,43,19,18,39,11,0,0,11,37,10,6,19,8,NA,8,0,1,0,80,9,0,48,0,9,NA,0,NA,12,3,87,87,85,85,37,69,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,8
02CH010752-000-2022,2022,Region 2,NY,Kiryas Joel Municipal Local Development,02CH010752,CH,Kiryas Joel Municipal Local Development,000,HS,186,186,172,0,0,0,4,170,12,0,176,0,0,0,7,NA,7,0,0,0,179,0,0,48,3,5,NA,0,12,NA,3,186,186,186,186,186,186,17,NA,0,0,0,0,0,0,0,0,0,0,11,0,0,172,0,0
02CH010752-200-2022,2022,Region 2,NY,Kiryas Joel Municipal Local Development,02CH010752,CH,Kiryas Joel Municipal Local Development,200,EHS,152,116,29,54,31,29,2,0,0,36,129,3,2,0,11,NA,2,0,0,0,150,0,0,34,1,0,NA,0,NA,17,0,116,116,116,116,116,115,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,2
02CH010764-000-2022,2022,Region 2,NY,"Shira Association, Inc.",02CH010764,CH,Shira Association Inc.,000,HS,366,366,233,0,0,0,162,145,59,0,252,1,0,0,32,NA,0,0,0,0,366,0,0,116,4,34,NA,0,26,NA,14,366,366,366,366,344,318,85,NA,0,0,31,0,0,0,0,49,0,0,5,0,0,223,0,0
02CH010764-200-2022,2022,Region 2,NY,"Shira Association, Inc.",02CH010764,CH,Shira Head Start,200,EHS,66,66,66,0,0,66,0,0,0,0,49,0,0,0,3,NA,0,0,0,0,66,0,0,31,0,0,NA,0,NA,16,0,65,65,66,66,58,58,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,0
02CH010794-000-2022,2022,Region 2,NY,"Community Action of Orleans and Genesee, Inc.",02CH010794,CH,"Community Action of Orleans and Genesee, Inc.",000,HS,150,150,108,0,0,0,87,63,0,0,85,17,9,9,12,NA,13,0,7,0,98,32,0,71,0,8,NA,0,11,NA,1,149,149,150,150,10,88,35,NA,0,0,20,4,0,2,0,0,0,0,8,1,0,55,3,14
02CH010794-200-2022,2022,Region 2,NY,"Community Action of Orleans and Genesee, Inc.",02CH010794,CH,"Community Action of Orleans and Genesee, Inc.",200,EHS,43,43,31,3,14,26,0,0,0,0,29,5,3,1,4,NA,6,0,2,0,27,8,0,34,0,1,NA,0,NA,6,1,43,43,43,43,12,13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,7
02CH010795-000-2022,2022,Region 2,NY,Bank Street College of Education,02CH010795,CH,Bank Street College of Education,000,HS,62,62,44,0,0,10,28,24,0,0,46,3,0,1,3,NA,43,5,6,0,1,5,0,21,5,3,NA,0,5,NA,1,59,58,59,60,40,49,17,NA,0,0,0,0,0,0,0,0,0,0,17,0,0,35,4,0
02CH010796-000-2022,2022,Region 2,NY,"United Academy, Inc.",02CH010796,CH,"United_Academy,Inc",000,HS,190,190,155,0,0,1,149,40,0,0,150,4,0,0,9,NA,0,0,0,0,190,0,0,67,27,37,NA,3,11,NA,8,190,190,190,190,1,190,24,NA,0,0,0,0,0,0,0,0,0,0,24,0,0,155,0,0
02CH010797-000-2022,2022,Region 2,NY,"United Academy, Inc.",02CH010797,CH,UNITED ACADEMY HEAD START,000,HS,154,154,56,0,0,0,34,119,1,0,108,1,0,0,11,NA,0,0,0,0,154,0,0,57,27,32,NA,3,8,NA,8,154,154,154,154,0,154,19,NA,0,0,0,0,0,0,0,0,0,0,19,0,0,56,0,0
02CH010797-200-2022,2022,Region 2,NY,"United Academy, Inc.",02CH010797,CH,UNITED ACADEMY HEAD START,200,EHS,14,14,10,0,6,8,0,0,0,0,7,0,0,0,1,NA,0,0,0,0,14,0,0,29,25,10,NA,0,NA,2,0,14,14,14,14,0,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0
02CH010801-000-2022,2022,Region 2,NY,"Yeshiva Kehilath Yakove, Inc.",02CH010801,CH,"Yeshivath Kehilath Yakov, Inc.",000,HS,400,400,184,0,0,10,199,190,1,0,299,7,0,0,40,NA,0,0,0,0,400,0,0,124,4,17,NA,0,24,NA,15,400,400,400,400,395,400,71,NA,0,0,0,0,1,0,0,0,0,0,69,0,0,184,0,0
02CH010801-200-2022,2022,Region 2,NY,"Yeshiva Kehilath Yakove, Inc.",02CH010801,CH,"Yeshivath Kehilath Yakov, Inc.",200,EHS,57,41,34,0,0,41,0,0,0,16,50,0,0,0,2,NA,0,0,0,0,57,0,0,27,4,7,NA,0,NA,9,1,41,41,41,41,38,41,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,0
02CH010802-000-2022,2022,Region 2,NY,"Lenox Hill Neighborhood House, Inc.",02CH010802,CH,"Lenox Hill Neighborhood House, Inc.",000,HS,127,127,99,0,0,11,66,50,0,0,76,8,1,2,13,NA,38,2,7,0,15,8,0,25,0,3,NA,0,8,NA,0,126,127,125,127,58,110,16,NA,0,0,12,1,0,0,0,0,1,0,0,0,0,99,2,1
02CH010803-000-2022,2022,Region 2,NY,"Y M & Y W H A of Williamsburg, Inc.",02CH010803,CH,"Y.M. & Y.W.H.A. of Williamsburg, Inc.",000,HS,103,103,54,0,0,11,44,48,0,0,49,3,1,8,17,NA,41,5,3,0,52,2,0,32,4,3,NA,0,8,NA,2,101,103,101,103,96,103,18,NA,0,0,1,0,0,0,0,0,0,0,17,0,0,54,6,1
02CH010804-000-2022,2022,Region 2,NY,"Catholic Charities Neighborhood Services, Inc.",02CH010804,CH,"Catholic Charities Neighborhood Services, Inc.",000,HS,1310,1310,457,0,0,0,452,858,0,0,1175,36,10,89,0,NA,804,82,304,0,56,11,0,115,0,12,NA,1,37,NA,2,949,1310,869,1310,989,1310,114,NA,0,0,0,0,0,0,0,0,0,0,114,0,0,238,11,12
02CH010805-000-2022,2022,Region 2,NY,"Hudson Guild, Inc.",02CH010805,CH,The Hudson Guild,000,HS,77,77,77,0,0,3,55,19,0,0,61,4,2,3,7,NA,34,4,20,0,5,7,1,19,0,10,NA,0,5,NA,8,71,77,66,70,40,51,34,NA,0,0,0,0,0,1,0,0,2,0,31,0,0,77,10,1
02CH010807-000-2022,2022,Region 2,NY,Association to Benefit Children,02CH010807,CH,Association to Benefit Children,000,HS,180,180,106,0,0,0,97,83,0,0,130,23,2,7,18,NA,123,1,36,1,5,3,11,66,1,7,NA,0,16,NA,0,179,179,179,180,122,173,56,NA,0,0,14,0,0,1,0,0,0,0,40,1,0,15,18,4
02CH010807-200-2022,2022,Region 2,NY,Association to Benefit Children,02CH010807,CH,Association to Benefit Children,200,EHS,196,178,95,38,63,77,0,0,0,18,118,32,4,26,16,NA,139,4,43,0,4,3,3,58,1,9,NA,0,NA,22,5,176,175,176,175,47,142,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,29,7
02CH010812-000-2022,2022,Region 2,NY,Action for a Better Community,02CH010812,CH,"Action for a Better Community, Inc",000,HS,818,818,579,0,0,17,367,434,0,0,550,156,6,8,98,NA,243,9,497,0,12,46,8,206,1,18,NA,0,51,NA,6,818,818,812,812,109,653,73,NA,0,0,0,0,0,0,0,0,0,0,73,0,0,515,11,10
02CH010812-200-2022,2022,Region 2,NY,Action for a Better Community,02CH010812,CH,"Action for a Better Community, Inc",200,EHS,293,261,126,62,90,109,0,0,0,32,213,48,1,13,18,NA,88,1,174,0,6,19,3,98,0,4,NA,0,NA,41,4,259,258,256,256,15,153,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,8,4
02CH010813-000-2022,2022,Region 2,NY,"Yeled V'Yalda Early Childhood Center, Inc.",02CH010813,CH,"Yeled v'Yalda Early Childhood Center, Inc.",000,HS,1509,1509,862,0,0,0,761,709,39,0,1053,44,0,14,178,NA,74,22,46,0,1367,0,0,476,0,147,NA,0,88,NA,33,1403,1392,1502,1509,1243,1265,611,NA,0,0,0,0,2,0,2,0,67,0,540,0,0,862,40,0
02CH010813-200-2022,2022,Region 2,NY,"Yeled V'Yalda Early Childhood Center, Inc.",02CH010813,CH,Yeled V'Yalda Early Childhood Center,200,EHS,778,626,458,147,169,310,0,0,0,152,569,26,0,14,56,NA,55,4,9,0,709,1,0,216,0,54,NA,0,NA,89,10,619,609,613,626,337,399,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458,18,0
02CH010815-000-2022,2022,Region 2,NY,Child Development Center of the MMCC,02CH010815,CH,Child Development Center of Mosholu Montefiore Comm. Ct,000,HS,356,356,282,0,0,34,151,171,0,0,251,13,0,4,52,NA,250,36,54,1,5,2,7,85,4,22,NA,1,24,NA,7,346,356,348,356,228,356,21,NA,0,0,17,0,0,0,0,2,0,0,2,0,0,282,5,1
02CH010816-000-2022,2022,Region 2,NY,"Children's Aid Society, The",02CH010816,CH,The Children's Aid Society,000,HS,157,157,53,0,0,0,92,65,0,0,106,20,4,9,14,NA,71,0,79,0,4,3,0,71,3,6,NA,0,8,NA,6,157,157,157,157,157,157,10,NA,0,0,9,0,0,0,0,0,0,0,0,1,0,53,9,4
02CH010816-200-2022,2022,Region 2,NY,"Children's Aid Society, The",02CH010816,CH,The Children's Aid Society,200,EHS,319,283,183,74,66,142,1,0,0,36,245,32,4,15,15,NA,279,0,18,0,5,6,0,71,3,10,NA,0,NA,30,4,283,283,283,283,283,283,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,15,4
02CH010818-000-2022,2022,Region 2,NY,Northside Center for Child Development,02CH010818,CH,"Northside Center For Child Development, Inc.",000,HS,51,51,42,0,0,0,0,26,25,0,34,3,1,13,0,NA,39,0,10,0,2,0,0,29,2,2,NA,0,6,NA,2,51,51,51,51,50,51,13,NA,0,0,8,4,0,0,0,0,0,0,0,0,0,42,6,4
02CH010818-200-2022,2022,Region 2,NY,Northside Center for Child Development,02CH010818,CH,Northside Center for Child Development,200,EHS,120,112,74,20,37,54,1,0,0,8,79,2,1,19,11,NA,80,2,23,0,2,10,0,28,2,3,NA,0,NA,6,3,110,112,112,112,107,112,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,25,2
02CH010819-000-2022,2022,Region 2,NY,"Educational Alliance, Inc., The",02CH010819,CH,EDUCATIONAL ALLIANCE,000,HS,66,66,45,0,0,0,34,32,0,0,48,1,0,3,5,NA,25,21,11,1,0,0,0,34,0,7,NA,0,12,NA,3,66,66,65,64,26,52,24,NA,0,0,14,1,0,0,0,0,4,1,4,0,0,43,4,0
02CH010819-200-2022,2022,Region 2,NY,"Educational Alliance, Inc., The",02CH010819,CH,EDUCATIONAL ALLIANCE,200,EHS,78,74,28,12,27,34,1,0,0,4,61,0,0,1,7,NA,24,38,7,0,1,1,1,35,0,4,NA,0,NA,10,1,74,74,68,67,36,71,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,0
02CH010835-000-2022,2022,Region 2,NY,"Albany County Opportunity, Inc.",02CH010835,CH,"Albany County Opportunity, Incorporated",000,HS,332,332,241,0,0,0,184,148,0,0,212,28,2,18,29,NA,52,22,205,0,31,22,0,102,0,23,NA,0,26,NA,7,273,273,270,270,323,294,41,NA,0,0,0,0,0,0,0,0,0,0,41,0,0,227,11,2
02CH010855-000-2022,2022,Region 2,NY,"Fulmont Community Action Agency, Inc.",02CH010855,CH,"Fulmont Community Action Agency, Inc.",000,HS,236,236,178,0,0,1,96,139,0,0,112,42,4,3,23,NA,76,1,7,0,133,19,0,94,3,34,NA,0,15,NA,4,235,235,232,233,235,227,37,NA,0,0,34,0,0,0,0,0,1,0,2,0,0,124,5,6
02CH010869-000-2022,2022,Region 2,NY,"Head Start of Eastern Orange County, Inc.",02CH010869,CH,"Head Start of Eastern Orange County, Inc.",000,HS,241,241,238,0,0,0,130,111,0,0,187,4,1,0,16,NA,147,0,80,0,8,2,4,43,0,7,NA,1,9,NA,0,238,238,241,237,46,191,39,NA,1,0,32,0,0,0,0,0,3,0,3,0,0,207,2,1
02CH010870-200-2022,2022,Region 2,NY,Parsons Child and Family Center,02CH010870,CH,PARSONS CHILD & FAMILY CENTER,200,EHS,123,114,45,20,22,38,34,0,0,9,72,25,6,18,2,NA,28,3,50,0,19,19,4,43,0,13,NA,0,NA,16,6,114,114,114,114,87,100,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,20,8
02CH010896-000-2022,2022,Region 2,NY,"ProAction of Steuben and Yates County, Inc.",02CH010896,CH,"Pro Action of Steuben and Yates, Inc.",000,HS,282,282,232,0,0,0,101,181,0,0,149,18,8,37,28,NA,13,3,5,0,238,22,0,141,2,40,NA,1,19,NA,4,279,282,282,282,139,164,70,NA,0,0,0,0,0,0,0,0,0,0,70,0,0,223,35,14
02CH010896-200-2022,2022,Region 2,NY,"ProAction of Steuben and Yates County, Inc.",02CH010896,CH,"Pro Action of Steuben and Yates, Inc.",200,EHS,152,141,66,36,42,63,0,0,0,11,87,18,4,22,6,NA,8,1,4,0,123,15,1,47,5,10,NA,4,NA,6,4,141,141,139,139,92,84,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,24,11
02CH010916-000-2022,2022,Region 2,NY,Cortland County Community Action Program,02CH010916,CH,"Cortland County Communication Action Program, Inc.",000,HS,133,133,98,0,0,0,59,74,0,0,90,8,4,0,13,NA,5,0,8,0,97,23,0,56,8,14,NA,0,10,NA,5,132,132,133,133,28,74,40,NA,0,0,20,0,0,0,0,0,2,0,7,11,0,79,1,8
02CH010916-200-2022,2022,Region 2,NY,Cortland County Community Action Program,02CH010916,CH,"Cortland County Communication Action Program, Inc.",200,EHS,60,60,49,2,24,34,0,0,0,0,43,2,1,1,0,NA,1,0,1,0,50,8,0,47,3,17,NA,0,NA,18,8,60,59,60,60,45,43,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3,2
02CH010936-000-2022,2022,Region 2,NY,"Project Social Care Head Start, Inc.",02CH010936,CH,"Project Social Care Head Start, Inc.",000,HS,50,50,23,0,0,0,20,30,0,0,39,0,0,0,5,NA,0,0,0,0,50,0,0,28,1,3,NA,0,3,NA,3,50,50,50,50,49,48,11,NA,0,0,1,0,0,0,0,0,0,0,10,0,0,23,0,0
02CH010936-200-2022,2022,Region 2,NY,"Project Social Care Head Start, Inc.",02CH010936,CH,"Project Social Care Head Start, Inc.",200,EHS,142,69,34,13,24,32,0,0,0,73,130,2,0,0,6,NA,0,0,0,0,142,0,0,25,1,3,NA,0,NA,16,3,69,69,69,69,19,20,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,0
02CH010937-000-2022,2022,Region 2,NY,"Police Athletic League, Inc.",02CH010937,CH,"Police Athletic League, Inc.",000,HS,427,427,262,0,0,53,173,169,32,0,291,50,3,16,30,NA,116,46,208,0,50,7,0,132,3,28,NA,1,31,NA,12,412,410,359,373,331,337,44,NA,0,0,25,0,0,4,0,0,0,0,15,0,0,107,27,4
02CH010937-200-2022,2022,Region 2,NY,"Police Athletic League, Inc.",02CH010937,CH,"Police Athletic League, Inc.",200,EHS,160,153,124,10,40,78,25,0,0,7,117,25,0,4,7,NA,50,10,85,0,8,2,5,39,0,4,NA,0,NA,14,3,139,137,110,98,49,40,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3,0
02CH010938-000-2022,2022,Region 2,NY,"East Side House, Inc.",02CH010938,CH,East Side House Settlement Head Start / Day Care,000,HS,173,173,119,0,0,0,98,75,0,0,122,15,3,17,5,NA,10,1,66,0,4,0,0,41,0,7,NA,0,9,NA,0,173,172,173,173,173,173,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,104,17,3
02CH010938-200-2022,2022,Region 2,NY,"East Side House, Inc.",02CH010938,CH,East Side House Settlement Head Start / Day Care,200,EHS,28,28,28,0,0,28,0,0,0,0,13,6,0,3,2,NA,28,0,0,0,0,0,0,10,0,1,NA,0,NA,6,1,28,28,28,28,28,28,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,0
02CH010950-200-2022,2022,Region 2,NY,"United Academy, Inc.",02CH010950,CH,United Academy Inc,200,EHS,197,85,66,6,29,50,0,0,0,112,162,5,0,0,6,NA,0,0,0,0,197,0,0,49,25,30,NA,3,NA,18,12,85,85,85,85,4,85,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,0,0
02CH010951-000-2022,2022,Region 2,NY,"Fort George Community Enrichment Center, Inc.",02CH010951,CH,"Fort George Community Enrichment Center, Inc.",000,HS,81,81,58,0,0,0,28,53,0,0,51,3,0,18,0,NA,63,0,18,0,0,0,0,31,3,3,NA,0,10,NA,3,81,81,81,81,79,81,10,NA,0,0,0,0,0,0,0,0,0,0,10,0,0,57,19,0
